iter	Passed	Remaining
403	8028	11844
404	8044	11819
405	8061	11794
406	8080	11773
407	8105	11760
408	8122	11736
409	8142	11717
410	8169	11707
411	8196	11697
412	8225	11690
413	8244	11669
414	8261	11646
415	8278	11621
416	8294	11595
417	8310	11571
418	8328	11548
419	8348	11529
420	8371	11513
421	8396	11500
422	8414	11478
423	8434	11458
424	8451	11434
425	8468	11410
426	8486	11388
427	8503	11364
428	8521	11342
429	8543	11324
430	8565	11307
431	8603	11312
432	8622	11290
433	8640	11268
434	8658	11245
435	8675	11222
436	8696	11204
437	8712	11179
438	8741	11171
439	8762	11152
440	8784	11134
441	8806	11118
442	8832	11104
443	8850	11082
444	8867	11059
445	8884	11036
446	8902	11013
447	8921	10992
448	8937	10967
449	8953	10943
450	8973	10923
451	8994	10904
452	9014	10884
453	9037	10868
454	9056	10847
455	9073	10824
456	9089	10800
457	9106	10777
458	9122	10752
459	9139	10729
460	9156	10706
461	9180	10691
462	9205	10676
463	9235	10669
464	9256	10649
465	9281	10635
466	9301	10616
467	9318	10592
468	9335	10569
469	9354	10548
470	9374	10528
471	9393	10508
472	9423	10499
473	9447	10484
474	9473	10470
475	9492	10449
476	9512	10429
477	9530	10407
478	9548	10385
479	9567	10364
480	9585	10343
481	9603	10321
482	9631	10309
483	9671	10311
484	9705	10306
485	9729	10290
486	9751	10272
487	9772	10252
488	9794	10234
489	9814	10214
490	9838	10199
491	9858	10179
492	9878	10158
493	9899	10140
494	9916	10116
495	9934	10094
496	9952	10073
497	9969	10049
498	9985	10025
499	10003	10003
500	10019	9979
501	10039	9959
502	10062	9942
503	10091	9931
504	10122	9922
505	10199	9957
506	10278	9995
507	10329	10004
508	10385	10017
509	10403	9995
510	10420	9971
511	10436	9947
512	10453	9923
513	10471	9900
514	10491	9880
515	10516	9864
516	10542	9849
517	10563	9829
518	10587	9811
519	10604	9788
520	10621	9765
521	10638	9742
522	10655	9718
523	10673	9695
524	10690	9672
525	10710	9651
526	10731	9631
527	10752	9611
528	10776	9594
529	10795	9573
530	10812	9549
531	10829	9527
532	10847	9504
533	10866	9482
534	10884	9460
535	10903	9438
536	10922	9417
537	10944	9398
538	10972	9384
539	10997	9368
540	11018	9348
541	11040	9329
542	11070	9317
543	11091	9297
544	11109	9274
545	11126	9251
546	11147	9231
547	11167	9210
548	11187	9190
549	11209	9171
550	11225	9147
551	11242	9124
552	11260	9102
553	11278	9079
554	11298	9058
555	11315	9036
556	11335	9015
557	11354	8994
558	11375	8974
559	11399	8956
560	11417	8934
561	11435	8911
562	11457	8893
563	11482	8876
564	11506	8859
565	11531	8842
566	11553	8823
567	11574	8803
568	11595	8783
569	11618	8764
570	11635	8742
571	11653	8719
572	11670	8697
573	11686	8673
574	11704	8650
575	11720	8627
576	11737	8604
577	11753	8581
578	11775	8561
579	11795	8541
580	11817	8522
581	11843	8506
582	11867	8488
583	11884	8465
584	11912	8450
585	11936	8432
586	11953	8410
587	11972	8389
588	11992	8368
589	12012	8347
590	12032	8327
591	12055	8308
592	12074	8286
593	12092	8265
594	12108	8242
595	12125	8219
596	12141	8195
597	12158	8173
598	12175	8150
599	12196	8130
600	12216	8110
601	12238	8091
