iter	Logloss
0	0.6834905269
1	0.6722848966
2	0.6607564914
3	0.6508515715
4	0.6412060197
5	0.6308269228
6	0.619453789
7	0.6099111483
8	0.6014653929
9	0.5927686321
10	0.5845290732
11	0.5765149949
12	0.5694099535
13	0.5634691983
14	0.5579033912
15	0.551017652
16	0.5438469573
17	0.5386087929
18	0.5325962059
19	0.5266525175
20	0.5217670214
21	0.5150360544
22	0.5088901325
23	0.5036894441
24	0.4978895441
25	0.4921196936
26	0.4870633552
27	0.481666799
28	0.4769399444
29	0.4716734779
30	0.466757121
31	0.4617918362
32	0.4577950008
33	0.4542336493
34	0.4488591543
35	0.4437585374
36	0.4406222166
37	0.4367662676
38	0.4334365751
39	0.4290653533
40	0.4251824439
41	0.4212283893
42	0.4177372782
43	0.4143928263
44	0.4104300345
45	0.4070980641
46	0.4035343724
47	0.3996828231
48	0.3962823287
49	0.392762541
50	0.3897947846
51	0.3865648827
52	0.3827749927
53	0.3805126042
54	0.3781610033
55	0.3748122763
56	0.3727081861
57	0.3704690446
58	0.3676858914
59	0.3653858083
60	0.3626322678
61	0.3605180674
62	0.3584353831
63	0.3563873665
64	0.3545337825
65	0.3527061291
66	0.3500173058
67	0.3481866567
68	0.3461718101
69	0.3439404384
70	0.3424491024
71	0.3400653925
72	0.3385831369
73	0.3367463718
74	0.3353934571
75	0.3330123683
76	0.3309115232
77	0.3286263246
78	0.3268195466
79	0.3254503121
80	0.3237085323
81	0.3212989542
82	0.319537391
83	0.3178475659
84	0.3159222125
85	0.3139305193
86	0.3123165513
87	0.3109436347
88	0.3088984265
89	0.3077113302
90	0.3063908052
91	0.3050162036
92	0.3037431713
93	0.3029145473
94	0.301488615
95	0.2998357043
96	0.2981192934
97	0.2964156761
98	0.2949810379
99	0.2940253821
100	0.292511548
101	0.2915133611
102	0.2904163821
103	0.2894017818
104	0.2884058104
105	0.2870997017
106	0.2854025749
107	0.284109728
108	0.2831425267
109	0.2817923267
110	0.2807341968
111	0.279709268
112	0.2788083441
113	0.2779419944
114	0.2761850182
115	0.2749821013
116	0.2734287317
117	0.2727979102
118	0.2719182676
119	0.2710650547
120	0.2702249164
121	0.2695431075
122	0.2685394287
123	0.2675496045
124	0.2667775534
125	0.2653540863
126	0.2645055853
127	0.263214985
128	0.2623740978
129	0.2616731141
